# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
15.7414       	DICPCG	2.924740e-03	3.274590e-10	2	true
15.8601       	DICPCG	3.424240e-03	5.296530e-10	2	true
16.0007       	DICPCG	4.021290e-03	8.655380e-10	2	true
16.1586       	DICPCG	4.471970e-03	1.205780e-09	2	true
16.1877       	DICPCG	8.223530e-04	1.031000e-07	1	true
16.2223       	DICPCG	9.789030e-04	1.463290e-07	1	true
16.2639       	DICPCG	1.170820e-03	2.097140e-07	1	true
16.3139       	DICPCG	1.400790e-03	3.008470e-07	1	true
16.3738       	DICPCG	1.675000e-03	4.312680e-07	1	true
16.4451       	DICPCG	1.985030e-03	6.075840e-07	1	true
16.5298       	DICPCG	2.346760e-03	8.523810e-07	1	true
16.6294       	DICPCG	2.744810e-03	3.018000e-10	2	true
16.7441       	DICPCG	3.137440e-03	4.541570e-10	2	true
16.8772       	DICPCG	3.614990e-03	7.008850e-10	2	true
16.9473       	DICPCG	1.893390e-03	5.692280e-07	1	true
17.0052       	DICPCG	1.561020e-03	3.886790e-07	1	true
17.0306       	DICPCG	6.828950e-04	7.470030e-08	1	true
17.061        	DICPCG	8.169450e-04	1.070540e-07	1	true
17.0974       	DICPCG	9.759840e-04	1.530440e-07	1	true
17.1411       	DICPCG	1.167120e-03	2.192830e-07	1	true
17.1935       	DICPCG	1.396300e-03	3.145770e-07	1	true
17.2564       	DICPCG	1.671770e-03	4.521630e-07	1	true
17.3323       	DICPCG	2.007290e-03	6.539530e-07	1	true
17.4236       	DICPCG	2.401170e-03	9.393430e-07	1	true
17.5334       	DICPCG	2.870730e-03	3.820330e-10	2	true
17.6644       	DICPCG	3.400030e-03	6.388860e-10	2	true
17.8205       	DICPCG	4.016620e-03	1.061650e-09	2	true
18.0094       	DICPCG	4.812660e-03	1.841920e-09	2	true
18.2279       	DICPCG	5.502590e-03	2.791110e-09	2	true
18.2344       	DICPCG	1.639510e-04	4.603900e-09	1	true
18.2422       	DICPCG	1.965540e-04	6.619890e-09	1	true
18.2516       	DICPCG	2.355920e-04	9.515390e-09	1	true
18.2628       	DICPCG	2.823940e-04	1.367990e-08	1	true
18.2763       	DICPCG	3.385430e-04	1.967590e-08	1	true
18.2924       	DICPCG	4.056310e-04	2.827260e-08	1	true
18.3118       	DICPCG	4.858880e-04	4.061060e-08	1	true
18.3351       	DICPCG	5.832000e-04	5.857810e-08	1	true
18.3631       	DICPCG	6.995990e-04	8.441310e-08	1	true
18.3968       	DICPCG	8.399560e-04	1.218760e-07	1	true
18.4373       	DICPCG	1.007660e-03	1.757200e-07	1	true
18.4859       	DICPCG	1.205920e-03	2.521990e-07	1	true
18.5441       	DICPCG	1.438270e-03	3.596100e-07	1	true
18.6135       	DICPCG	1.710360e-03	5.099660e-07	1	true
18.6964       	DICPCG	2.034780e-03	7.241230e-07	1	true
18.7965       	DICPCG	2.442130e-03	2.717180e-10	2	true
18.9158       	DICPCG	2.894270e-03	4.548690e-10	2	true
19.0573       	DICPCG	3.408460e-03	7.480690e-10	2	true
19.2271       	DICPCG	4.055580e-03	1.269960e-09	2	true
19.4262       	DICPCG	4.708000e-03	2.007240e-09	2	true
19.4623       	DICPCG	8.552950e-04	1.334100e-07	1	true
19.5025       	DICPCG	9.462930e-04	1.636040e-07	1	true
19.5507       	DICPCG	1.134420e-03	2.355540e-07	1	true
19.6087       	DICPCG	1.359740e-03	3.391500e-07	1	true
19.6778       	DICPCG	1.615670e-03	4.800550e-07	1	true
19.7609       	DICPCG	1.935910e-03	6.912560e-07	1	true
19.8617       	DICPCG	2.333890e-03	2.642520e-10	2	true
19.9812       	DICPCG	2.752130e-03	4.355740e-10	2	true
20.1246       	DICPCG	3.279670e-03	7.415430e-10	2	true
20.26         	DICPCG	3.076980e-03	6.223120e-10	2	true
20.2804       	DICPCG	4.640590e-04	4.091880e-08	1	true
20.3049       	DICPCG	5.546490e-04	5.852230e-08	1	true
20.3342       	DICPCG	6.645150e-04	8.411000e-08	1	true
20.3693       	DICPCG	7.929710e-04	1.199410e-07	1	true
20.4114       	DICPCG	9.495490e-04	1.722530e-07	1	true
20.4618       	DICPCG	1.134560e-03	2.463530e-07	1	true
20.5224       	DICPCG	1.357480e-03	3.534020e-07	1	true
20.5946       	DICPCG	1.614630e-03	5.012000e-07	1	true
20.681        	DICPCG	1.923350e-03	7.132400e-07	1	true
20.7838       	DICPCG	2.278710e-03	2.685130e-10	2	true
20.9078       	DICPCG	2.732090e-03	4.648820e-10	2	true
21.0539       	DICPCG	3.198470e-03	7.505730e-10	2	true
21.2184       	DICPCG	3.571470e-03	1.055380e-09	2	true
21.2599       	DICPCG	9.017840e-04	1.614280e-07	1	true
21.3061       	DICPCG	9.994930e-04	1.986940e-07	1	true
21.3612       	DICPCG	1.190010e-03	2.822650e-07	1	true
21.4274       	DICPCG	1.423200e-03	4.047130e-07	1	true
21.5068       	DICPCG	1.701200e-03	5.799210e-07	1	true
21.6012       	DICPCG	2.014110e-03	8.154480e-07	1	true
21.7145       	DICPCG	2.404410e-03	3.429800e-10	2	true
21.8278       	DICPCG	2.392780e-03	3.413180e-10	2	true
21.8472       	DICPCG	4.109920e-04	3.450870e-08	1	true
21.8703       	DICPCG	4.854190e-04	4.818590e-08	1	true
21.8979       	DICPCG	5.834620e-04	6.968850e-08	1	true
21.9313       	DICPCG	7.016130e-04	1.008870e-07	1	true
21.9712       	DICPCG	8.368420e-04	1.437160e-07	1	true
22.0192       	DICPCG	1.007450e-03	2.086080e-07	1	true
22.0766       	DICPCG	1.198300e-03	2.956630e-07	1	true
22.1445       	DICPCG	1.417220e-03	4.144350e-07	1	true
22.2261       	DICPCG	1.694840e-03	5.941840e-07	1	true
22.3252       	DICPCG	2.049470e-03	8.713980e-07	1	true
22.4415       	DICPCG	2.394270e-03	3.609050e-10	2	true
22.5836       	DICPCG	2.908900e-03	6.502410e-10	2	true
22.7447       	DICPCG	3.274800e-03	9.356310e-10	2	true
22.8634       	DICPCG	2.402110e-03	3.774430e-10	2	true
22.8979       	DICPCG	6.968300e-04	1.035890e-07	1	true
22.9368       	DICPCG	7.856570e-04	1.318920e-07	1	true
22.9827       	DICPCG	9.232730e-04	1.824680e-07	1	true
23.0372       	DICPCG	1.095140e-03	2.572320e-07	1	true
23.1026       	DICPCG	1.310200e-03	3.690130e-07	1	true
23.1817       	DICPCG	1.577470e-03	5.362920e-07	1	true
23.2774       	DICPCG	1.901450e-03	7.815340e-07	1	true
23.3922       	DICPCG	2.270300e-03	3.341960e-10	2	true
23.5262       	DICPCG	2.633580e-03	5.249770e-10	2	true
23.5876       	DICPCG	1.205100e-03	3.186270e-07	1	true
23.6304       	DICPCG	8.385890e-04	1.547450e-07	1	true
23.6811       	DICPCG	9.917410e-04	2.167710e-07	1	true
23.7411       	DICPCG	1.169160e-03	3.018050e-07	1	true
23.811        	DICPCG	1.360190e-03	4.093270e-07	1	true
23.8959       	DICPCG	1.646080e-03	6.008380e-07	1	true
23.9963       	DICPCG	1.937780e-03	8.349720e-07	1	true
24.1218       	DICPCG	2.410350e-03	4.233300e-10	2	true
24.2681       	DICPCG	2.796530e-03	6.648960e-10	2	true
24.3495       	DICPCG	1.550060e-03	5.419760e-07	1	true
24.3704       	DICPCG	4.000100e-04	3.625560e-08	1	true
24.3947       	DICPCG	4.610890e-04	4.821540e-08	1	true
24.4235       	DICPCG	5.482870e-04	6.824000e-08	1	true
24.4574       	DICPCG	6.441870e-04	9.430070e-08	1	true
24.4991       	DICPCG	7.915520e-04	1.425480e-07	1	true
24.5492       	DICPCG	9.480340e-04	2.047690e-07	1	true
24.6056       	DICPCG	1.064300e-03	2.585190e-07	1	true
24.6713       	DICPCG	1.238620e-03	3.507930e-07	1	true
24.7535       	DICPCG	1.543400e-03	5.457880e-07	1	true
24.8767       	DICPCG	2.303640e-03	3.923900e-10	2	true
25            	DICPCG	2.293520e-03	3.907280e-10	2	true
25.1479       	DICPCG	2.737050e-03	6.672690e-10	2	true
25.3158       	DICPCG	3.086880e-03	9.647380e-10	2	true
25.3383       	DICPCG	4.136440e-04	4.020960e-08	1	true
25.3647       	DICPCG	4.851560e-04	5.538540e-08	1	true
25.3962       	DICPCG	5.771490e-04	7.849430e-08	1	true
25.4339       	DICPCG	6.909290e-04	1.126680e-07	1	true
25.4792       	DICPCG	8.265870e-04	1.615240e-07	1	true
25.5334       	DICPCG	9.887990e-04	2.315460e-07	1	true
25.5985       	DICPCG	1.182820e-03	3.319500e-07	1	true
25.6765       	DICPCG	1.412740e-03	4.745210e-07	1	true
25.77         	DICPCG	1.689230e-03	6.800000e-07	1	true
25.8822       	DICPCG	2.017030e-03	9.721170e-07	1	true
26.0169       	DICPCG	2.410620e-03	4.894560e-10	2	true
26.1737       	DICPCG	2.788260e-03	7.621800e-10	2	true
26.2297       	DICPCG	9.960770e-04	2.405930e-07	1	true
26.2604       	DICPCG	5.451590e-04	7.225650e-08	1	true
26.2973       	DICPCG	6.532720e-04	1.038860e-07	1	true
26.3406       	DICPCG	7.665440e-04	1.432370e-07	1	true
26.3924       	DICPCG	9.139300e-04	2.039320e-07	1	true
26.454        	DICPCG	1.085560e-03	2.882300e-07	1	true
26.5276       	DICPCG	1.292350e-03	4.093260e-07	1	true
26.6155       	DICPCG	1.539130e-03	5.819220e-07	1	true
26.7204       	DICPCG	1.829050e-03	8.240110e-07	1	true
26.8442       	DICPCG	2.150430e-03	3.709490e-10	2	true
26.9927       	DICPCG	2.564260e-03	6.319530e-10	2	true
27.1606       	DICPCG	2.884050e-03	9.057380e-10	2	true
27.2135       	DICPCG	9.077840e-04	2.069500e-07	1	true
27.2597       	DICPCG	7.923930e-04	1.580090e-07	1	true
27.3152       	DICPCG	9.488850e-04	2.269240e-07	1	true
27.3811       	DICPCG	1.125400e-03	3.197890e-07	1	true
27.4602       	DICPCG	1.345790e-03	4.582360e-07	1	true
