# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	h_solver      	h_initial     	h_final       	h_iters       	h_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	rho_solver    	rho_initial   	rho_final     	rho_iters     	rho_converged 
4.96923       	DILUPBiCGStab	5.660330e-01	4.694390e-02	1	5.582420e-01	3.594360e-02	1	6.025690e-01	5.677040e-02	1	false	DILUPBiCGStab	3.516950e-02	2.101580e-03	1	true	GAMG	8.830240e-01	3.205040e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
5.05946       	DILUPBiCGStab	6.459040e-01	5.279780e-02	1	6.394250e-01	4.165030e-02	1	6.013130e-01	5.166780e-02	1	false	DILUPBiCGStab	3.516170e-02	2.140690e-03	1	true	GAMG	8.913210e-01	3.126690e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
5.16783       	DILUPBiCGStab	6.203230e-01	5.469640e-02	1	6.327650e-01	4.011270e-02	1	6.381060e-01	5.573110e-02	1	false	DILUPBiCGStab	3.849150e-02	2.494580e-03	1	true	GAMG	9.240770e-01	2.804860e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
5.29745       	DILUPBiCGStab	9.005110e-01	8.527120e-02	1	8.827290e-01	5.974960e-02	1	8.437180e-01	7.849700e-02	1	false	DILUPBiCGStab	4.286840e-02	3.147960e-03	1	true	GAMG	9.692350e-01	2.628760e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
5.44559       	DILUPBiCGStab	9.327770e-01	1.482520e-02	1	9.450800e-01	8.830430e-02	1	9.569930e-01	1.363560e-02	1	false	DILUPBiCGStab	6.750740e-02	1.033310e-03	1	true	GAMG	9.802950e-01	2.562900e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
5.48121       	DILUPBiCGStab	6.255530e-01	4.195140e-02	1	5.756480e-01	3.308490e-02	1	5.764900e-01	5.081060e-02	1	false	DILUPBiCGStab	3.669490e-02	2.893140e-03	1	true	GAMG	7.921430e-01	3.271810e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
5.52392       	DILUPBiCGStab	3.136580e-01	1.863600e-02	1	3.202630e-01	2.501890e-02	1	3.820120e-01	2.988260e-02	1	false	DILUPBiCGStab	2.970550e-02	1.771320e-03	1	true	GAMG	6.313310e-01	2.732770e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
5.57517       	DILUPBiCGStab	2.235740e-01	1.320030e-02	1	1.828030e-01	9.813130e-03	1	2.314950e-01	2.136790e-02	1	false	DILUPBiCGStab	2.656790e-02	1.604740e-03	1	true	GAMG	5.606740e-01	2.032900e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
5.63664       	DILUPBiCGStab	1.558720e-01	1.074880e-02	1	1.592930e-01	1.424600e-02	1	1.356510e-01	9.926610e-03	1	false	DILUPBiCGStab	2.661790e-02	1.548660e-03	1	true	GAMG	4.744990e-01	1.544020e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
5.71027       	DILUPBiCGStab	1.192090e-01	9.152550e-03	1	1.088310e-01	7.774410e-03	1	1.169420e-01	1.258410e-03	1	false	DILUPBiCGStab	2.840220e-02	1.839200e-03	1	true	GAMG	4.194940e-01	1.994890e-02	3	true	diagonal	0.000000e+00	0.000000e+00	0	true
