# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
11.8908       	DICPCG	1.523660e-03	2.706150e-07	1	true
11.9383       	DICPCG	1.820210e-03	3.874250e-07	1	true
11.9954       	DICPCG	2.175730e-03	5.556260e-07	1	true
12.0638       	DICPCG	2.596450e-03	7.948410e-07	1	true
12.1457       	DICPCG	3.085470e-03	2.483850e-10	2	true
12.2438       	DICPCG	3.668950e-03	4.216610e-10	2	true
12.3619       	DICPCG	4.375160e-03	7.283160e-10	2	true
12.5039       	DICPCG	5.201610e-03	1.254640e-09	2	true
12.6751       	DICPCG	6.187620e-03	2.175340e-09	2	true
12.8035       	DICPCG	4.592350e-03	9.028400e-10	2	true
12.8307       	DICPCG	9.709100e-04	1.187060e-07	1	true
12.8623       	DICPCG	1.124560e-03	1.595700e-07	1	true
12.8991       	DICPCG	1.304940e-03	2.153620e-07	1	true
12.9422       	DICPCG	1.522880e-03	2.940950e-07	1	true
12.9928       	DICPCG	1.784810e-03	4.052240e-07	1	true
13.0529       	DICPCG	2.105500e-03	5.659920e-07	1	true
13.1244       	DICPCG	2.495610e-03	7.985750e-07	1	true
13.2098       	DICPCG	2.961540e-03	2.597410e-10	2	true
13.3115       	DICPCG	3.496910e-03	4.314350e-10	2	true
13.432        	DICPCG	4.109420e-03	7.095320e-10	2	true
13.5748       	DICPCG	4.820220e-03	1.171400e-09	2	true
13.7453       	DICPCG	5.685510e-03	1.975380e-09	2	true
13.9361       	DICPCG	6.274080e-03	2.732720e-09	2	true
13.9807       	DICPCG	1.461570e-03	2.924610e-07	1	true
14.0308       	DICPCG	1.635180e-03	3.671790e-07	1	true
14.0907       	DICPCG	1.948700e-03	5.232040e-07	1	true
14.1625       	DICPCG	2.321740e-03	7.456100e-07	1	true
14.2485       	DICPCG	2.765960e-03	2.463050e-10	2	true
14.3519       	DICPCG	3.301010e-03	4.219760e-10	2	true
14.4757       	DICPCG	3.920400e-03	7.137970e-10	2	true
14.6199       	DICPCG	4.520630e-03	1.115320e-09	2	true
14.7197       	DICPCG	3.108240e-03	3.711270e-10	2	true
14.765        	DICPCG	1.405830e-03	2.856180e-07	1	true
14.8172       	DICPCG	1.615400e-03	3.782020e-07	1	true
14.8796       	DICPCG	1.924580e-03	5.385650e-07	1	true
14.9546       	DICPCG	2.298150e-03	7.708870e-07	1	true
15.0443       	DICPCG	2.733490e-03	2.647170e-10	2	true
15.1514       	DICPCG	3.239920e-03	4.442480e-10	2	true
15.2793       	DICPCG	3.839250e-03	7.461000e-10	2	true
15.4336       	DICPCG	4.585900e-03	1.293580e-09	2	true
15.5071       	DICPCG	2.176640e-03	7.169450e-07	1	true
15.5406       	DICPCG	9.865400e-04	1.481250e-07	1	true
15.5805       	DICPCG	1.175050e-03	2.105540e-07	1	true
15.6276       	DICPCG	1.382440e-03	2.921250e-07	1	true
15.684        	DICPCG	1.651380e-03	4.179900e-07	1	true
15.7515       	DICPCG	1.966140e-03	5.944650e-07	1	true
15.832        	DICPCG	2.330550e-03	8.385220e-07	1	true
15.9265       	DICPCG	2.722960e-03	2.927960e-10	2	true
16.0371       	DICPCG	3.166150e-03	4.640810e-10	2	true
16.1652       	DICPCG	3.635050e-03	7.092690e-10	2	true
16.3149       	DICPCG	4.212600e-03	1.116730e-09	2	true
16.4852       	DICPCG	4.742020e-03	1.625790e-09	2	true
16.5262       	DICPCG	1.137290e-03	2.090460e-07	1	true
16.5743       	DICPCG	1.333770e-03	2.881680e-07	1	true
16.632        	DICPCG	1.593210e-03	4.122660e-07	1	true
16.7012       	DICPCG	1.901420e-03	5.890440e-07	1	true
16.7842       	DICPCG	2.270560e-03	8.431120e-07	1	true
16.8831       	DICPCG	2.692580e-03	3.176410e-10	2	true
17.0025       	DICPCG	3.224420e-03	5.494620e-10	2	true
17.1453       	DICPCG	3.826060e-03	9.262370e-10	2	true
17.3161       	DICPCG	4.530080e-03	1.557600e-09	2	true
17.5131       	DICPCG	5.168960e-03	2.369920e-09	2	true
17.6265       	DICPCG	2.957900e-03	4.567770e-10	2	true
17.6682       	DICPCG	1.084030e-03	2.028340e-07	1	true
17.7161       	DICPCG	1.243650e-03	2.675490e-07	1	true
17.7721       	DICPCG	1.449610e-03	3.643920e-07	1	true
17.8391       	DICPCG	1.725070e-03	5.174960e-07	1	true
17.9195       	DICPCG	2.064800e-03	7.438600e-07	1	true
